#⃣	井 井号 井号键
$	钱
🐲	龙 龙头
🐳	鲸 鲸鱼
🐴	马 马 马头
🐵	猴 猴头 猴子 猴头
🐶	狗 狗头
🐷	猪 猪头 笨 蠢 傻 猪 白痴 笨蛋 蠢材 傻逼 猪头
🐸	蛙 蛤蟆 青蛙 虾蟆 蛙 青蛙
🐹	鼠 仓鼠 老鼠 鼠头
🐺	狼 狼头 狼 狼狗
🐻	熊 棕熊
🐼	熊猫 猫熊 熊猫 大熊猫
🐽	猪 鼻子 猪鼻 猪鼻子
🐾	脚 脚步 脚印 踪迹 足迹 足印 脚印
🐿	松鼠
👀	看 期待 眼 双眼 眼睛
👁	眼 单眼 眼睛 眼睛 红眼 眼红
👁️‍🗨️	眼睛
👂	耳 耳朵
👃	鼻 鼻子
👄	唇 口 亲 吻 嘴 飞吻 接吻 亲亲 亲吻 亲嘴 嘴唇 嘴
👅	舌 舔 舌头 舌头
👆	上 上图 上边 上面 向上 如上 上 向上
👇	下 下图 下边 下面 向下 如下 下 向下
👈	左 向左 左 左侧 左图 左边 左面
👉	右 右侧 右图 右边 右面 右 向右
👊	出拳 拳 拳头
👋	手 拜拜 挥手 再见 挥手
👌	ok 可以 好的 行 祝 可以 没问题
👍	拇指 棒 棒 赞 点赞 好棒 拇指 真棒 大拇指
👎	踩 差 烂 垃圾
👏	鼓掌 拍手
👐	双手 张开
👑	王冠 皇冠 皇冠 王冠
👒	帽 草帽 礼帽 帽子 女帽
👓	眼镜
👔	衬衫 衬衣 衣服 正装
👕	T恤 短袖 男装 衣服
👖	裤 裤子 长裤 牛仔裤
👗	礼服 连衣裙
👘	汉服 和服
👙	比基尼 内衣 内裤 泳装 比基尼
👚	T恤 短袖 女装 衣服
👛	包 钱包 钱袋 钱夹
👜	包 挎包 手提包
👝	包
👞	鞋 皮鞋 鞋子
👟	鞋 球鞋 鞋子 运动鞋
👠	鞋 鞋子 高跟鞋
👡	鞋 凉鞋 鞋子
👢	靴 靴子 长筒靴
👣	脚 脚步 脚印 足迹 足印 脚印
👤	人 单人 头像 一个人
👥	群 双人 头像 两个人
👦	儿子 男孩 男童
👧	女儿 女孩 女童
👨	爸 父 男 爸爸 父亲 男人 男人 男子
👨‍🎓	专家 主持
👨‍👦	单亲
👨‍👧	单亲
👨‍👩‍👧‍👦	人群 团队 组织 家庭
👩	母 妈妈 母亲 女人 女子
👩‍👦	单亲
👩‍👧	单亲
👪	家 家庭 家庭
👫	夫妇 夫妻 姐弟 情侣 兄妹
👬	搞基 哥俩 哥们 基佬 男同 同志 兄弟 男同性恋
👭	姐妹 拉拉 女同 姊妹 女同性恋
👮	警察 警察 民警
👯	兔 兔女 拉拉队 啦啦队 双胞胎 兔女郎
👰	新娘 新娘子
👱	男人 小伙子
👲	帽 帽子 商贩 小贩
👳	头巾
👴	爷 老头 姥爷 爷爷 祖父 老爷爷
👵	阿婆 老太 姥姥 奶奶 婆婆 祖母 老太婆 老太太
👶	宝贝 娃娃 婴儿 婴孩 幼儿 幼童
👷	工人 工人 民工 工程师 农民工
👸	公主 妃 妃嫔 妃子 格格 公主 女王 嫔妃 王后
👹	恶鬼 恶魔 怪物 鬼怪 魔鬼 魔鬼 妖怪
👺	恶鬼 恶魔 怪物 鬼怪 魔鬼 魔鬼 妖怪
👻	鬼 魂 恶魔 鬼魂 鬼脸 魂魄 魔鬼 妖怪 幽魂 幽灵 鬼 魂 鬼魂
👼	圣婴 天使
👽	外星 外星人 外星人
👾	游戏 小精灵 像素游戏
👿	怒 发怒 愤怒 鬼火 冒火 气愤 生气 恶魔 魔鬼
💀	骷髅 骷髅 头骨 骷髅头
💁	前台 客服 导游 请 这边 服务员
💂	卫兵 大兵 看守 门卫 守卫 卫士
💃	舞 跳舞 舞蹈
💄	口红 唇膏 唇彩 唇膏 口红
💅	美甲 指甲
💆	按摩
💇	剪发 理发 剃头 理发
💈	发廊 理发 理发店 理发 发廊
💉	注射 打针 针 打针 注射器
💊	吃药 药 药丸 胶囊 药 吃药 胶囊 药丸
💋	亲 吻 唇印 飞吻 接吻 亲亲 亲吻 亲嘴 嘴唇
💌	情书 电邮 情书 信件 邮件 电子邮件
💍	戒指 钻戒 钻戒 戒指
💎	宝石 珠宝 钻石 钻石
💏	亲 吻 飞吻 接吻 亲亲 亲吻 亲嘴
💐	花 花束
💑	情侣 相亲 爱 爱情 感情 恋爱 热恋
💒	婚礼 教堂 结婚
💓	心 心动 心跳 心跳 心颤 心动
💔	伤心 失恋 心碎 心碎
💕	心 心心相印 心有灵犀
💖	心 真心
💗	心 爱心 春心 红 红色 红心 爱心
💘	丘比特 一见钟情 一箭穿心 丘比特之箭 心
💙	心 心 蓝 蓝色
💚	心 心 绿 绿色
💛	心 心 黄 黄色
💜	心 心 紫 紫色
💝	彩礼 礼物 聘礼
💞	心 心心相印 心有灵犀
💟	心
💠	宝石 钻石
💡	灯 灯泡 电灯泡 灯 电灯 灯泡
💢	怒 发怒 愤怒 气愤 生气
💣	雷 地雷 炸弹 爆炸 炮弹 雷 手雷 炸弹
💤	睡 沉睡 酣睡 熟睡 睡觉 睡了 睡眠 睡着 晚安 睡着了 睡觉 梦乡
💥	爆炸 火花 碰撞 撞击
💦	水滴 溅 水 洒水
💧	水 水滴 雨滴 水滴
💨	气 屁 放屁 风 吹风 喷气
💩	屎 屎 粑粑 便便 大便
💪	力量 肌肉 加油 打气 肌 肌肉 力量 手臂
💫	晕 循环 行星 彗星 流星
💬	消息 聊天 气泡 泡泡 聊天 气泡 无语
💭	思考 想法 主意
💮	哀悼 白花 节哀 葬礼
💯	满分 一百 一百分
💰	钱 钱包 工资 钱 钱袋 土豪 有钱 有钱人
💱	兑换 换汇 汇兑 兑换 转换 汇率
💲	美元 美刀 货币 资金
💳	信用卡 卡片 刷卡 磁卡 银行卡 卡 卡片 信用卡 银行卡
💴	日元 日元 人民币
💵	美元 美刀 美钞 美刀 美金 美元
💶	欧元
💷	英镑
💸	被骗 亏损 没钱 骗钱 破财 破产 欠费 诈骗 钱
💹	上升 上行 向好 改善 赚钱 收益 收入 涨 外汇 指数
💺	椅 座 椅子 座椅
💻	电脑 笔电 电脑 屏幕 笔记本 计算机 显示屏 显示器 笔记本电脑
💼	包 电脑包 公文包
💽	光碟 光盘 专辑 光驱
💾	保存 磁盘 软盘
💿	光盘 光碟 光盘 专辑
📀	光碟 光盘 专辑
📁	文件夹
📂	文件夹
📃	档案 文档 文件 文书 信纸
📄	文件 档案 文档 文件 文书 信纸
📅	日历 日历 日期 台历
📆	日历 日历 日期 台历
📇	名片 索引 名片夹
📈	上升 上行 向好 改善 图表 统计 曲线 涨 牛市 收益
📉	下降 下行 恶化 图表 统计 曲线 跌 亏损 熊市
📊	图表 统计 曲线 柱图 柱状图 报表 条形图 直方图 柱状图
📋	tip tips 知识点 提示 要点 便笺 便签 剪切板 剪贴板 手写便笺
📌	针 图钉 大头钉 大头针 总在最前 钉 图钉
📍	针 定位 图钉 位置 大头钉 大头针
📎	别针 别针 回形针 曲别针
📏	尺 尺子 直尺 直尺 格尺 尺子
📐	尺 尺子 三角板 三角尺 角尺
📑	标签 书签 标签 标记 笔记
📒	本 书 本子 书本 图书 账本
📓	书 字典 典籍 本 书 本子 书本 图书
📔	本 书 本子 书本 图书 笔记本
📕	书 红书 本 书 本子 书本 图书
📖	本 书 本子 看书 书本 图书 阅读 白皮书 看书 阅读 书本 学习 培训
📗	本 书 本子 书本 图书 绿书
📘	本 书 本子 书本 图书 蓝书
📙	本 书 本子 书本 图书 橙书
📚	书 书籍 课程 本 书 本子 书本 图书
📛	铭牌 胸牌
📜	卷动 卷宗 羊皮纸 卷轴 收据 记录 账单 表单 列表
📝	记 备忘 便笺 便签 便条 记录 备忘录 手写便笺 记录 备忘录 填表 表单 登记
📞	电话 电话 电话 话筒 听筒 通讯 打电话 通讯录
📟	呼机 BB机 BP机 传呼机
📠	传真 传真机 电话
📡	雷达 天线 雷达 天线 通讯
📢	喇叭 扩音器
📣	喇叭 喇叭 扩音器
📤	信封 发件箱
📥	信封 收件箱
📦	包裹 快递 快递
📧	信件 邮件 电邮 信件 邮件 电子邮件
📨	信封 电邮 信件 邮件 收件箱 电子邮件
📩	信封 电邮 收件 收信 信件 邮件 电子邮件
📪	信箱 邮筒 邮箱 邮箱
📫	信箱 邮筒 邮箱 邮箱
📬	信箱 邮筒 邮箱 邮箱
📭	信箱 邮筒 邮箱 邮箱
📮	信箱 邮筒 邮箱
📯	号角 邮号
📰	报刊 报纸 新闻 信息 报纸
📱	手机 电话 电话 手机
📲	存入 导入 手机 来电
📳	振动 震动 振动模式
📴	关机
📵	手机 禁用 禁止 手机
📶	信号 信号 信号强度
📷	单反 拍照 相机 照相 照相机 单反相机 照像 像机 照像机
📸	闪光灯
📹	录像 摄像 录像机 摄像机 摄像 摄影 录像机 摄像机 摄影机
📺	电视 电视 电视机
📻	广播 收音机 收音机
📼	磁带 磁带 录像带 录音带
📽	放映 放映机
📿	佛珠 念珠
🔀	随机 乱序 随机 随机播放 随机循环
🔁	循环 循环播放 循环 重复 回收 顺序
🔂	单曲 循环 重复 回收 单曲循环
🔃	循环
🔄	循环
🔅	暗 亮 亮度 调暗
🔆	亮 亮度 调亮
🔇	声音 音量 静音 音量
🔈	喇叭 声音 音量 静音 音量 音箱 音响 扬声器
🔉	声音 音量 音量
🔊	声音 音量 音量
🔋	充电 电池 电量 电源 电池
🔌	插头 电源
🔍	找 查找 寻找 查询 查找 放大 搜索 搜寻 放大镜
🔎	查询 查找 放大 搜索 搜寻 放大镜
🔏	加密 锁 加密
🔐	锁 锁 加密 密钥
🔑	密钥 锁匙 钥匙 金钥匙 钥匙
🔒	锁 上锁 加锁 锁 加密 上锁
🔓	锁 开锁 锁 解密 解锁 开锁
🔔	铃 铃铛 钟 闹铃 闹钟 提醒 响铃
🔕	勿扰 免打扰 静音 安静
🔖	书签
🔗	链 连接 连结 联结 链接 链子 链条
🔘	单选 选项 按钮 单选
🔙	左 返回 向左
🔚	左 返回 向左
🔛	左右
🔜	右 向右
🔝	上 向上 顶 顶部 top
🔞	不宜 禁 禁止 十八禁 少儿不宜
🔟	十
🔠	大写 大写字母
🔡	小写 小写字母
🔢	数字 数字 数字键 数字键盘
🔣	符号 符号键盘
🔤	英文 字母 英文键盘
🔥	火 火苗 大火 火焰 火爆 火 火苗 火焰
🔦	手电 手电 照明 手电筒
🔧	扳手 扳手 起子
🔨	锤 铁锤 锤子 锤 锤子 敲打 铁锤
🔩	螺丝 螺丝 螺栓 螺母
🔪	刀 切 菜刀 小刀 水果刀 刀 菜刀
🔫	枪 手枪 水枪
🔬	实验 显微镜 做实验 显微镜
🔭	望远镜 望远镜 天文望远镜
🔮	球 水晶 水晶球
🔯	六角星 六芒星
🔰	盾 盾牌 盾牌 新手
🔱	戟 三叉戟
🔲	方块 黑白 正方 正方形 框 方框
🔳	方块 黑白 正方 正方形 框 方框
🔴	棋 圆 红子 棋子 红 红色
🔵	棋 圆 蓝子 棋子 蓝 蓝色
🔶	菱形
🔷	菱形
🔸	菱形
🔹	菱形
🔺	三角 增 三角 增高 增加
🔻	三角 降 减少 减小 降低 三角
🔼	增 增高 增加
🔽	降 减少 减小 降低
🕉	宗教 印度教
🕊	鸽 鸽子 鸽 鸽子 和平 和平鸽
🕋	天房 克尔白
🕌	教堂 清真寺 清真 清真寺
🕍	教堂
🕎	烛台
🕐	一点
🕑	丑时 荒鸡 鸡鸣 未时 日眣 日央 日跌 两点
🕒	三点
🕓	四点 寅时 平旦 黎明 早晨 日旦 申时 晡时 日晡 夕食
🕔	五点
🕕	下班 卯时 日出 日始 破晓 旭日 酉时 日落 日沉 傍晚 六点
🕖	七点
🕗	八点 戌时 黄昏 日夕 日暮 日晚 辰时 食时 早食 朝食
🕘	上班 开工 九点
🕙	亥时 人定 定昏 巳时 隅中 日禺 十点
🕚	十一点
🕛	午时 日中 日正 中午 正午 子时 三更 子夜 半夜 午夜 零点 十二点
🕜	点半 一点
🕝	点半 两点
🕞	点半 三点
🕟	点半 四点
🕠	点半 五点
🕡	点半 六点
🕢	点半 七点
🕣	八点 点半
🕤	点半 九点
🕥	点半 十点
🕦	点半 十一点
🕧	点半 零点 十二点
🕯	蜡 蜡烛 烛光
🕯️	蜡烛
🕰	表 钟 台钟 钟表
🕳	洞 地洞 球洞 洞 陷阱
🕴	裁判 悬空
🕵	侦探 间谍 神探 探长 侦探
🕶	墨镜 眼镜 太阳镜
🕶️	墨镜 眼镜
🕷	蛛 蜘蛛 蜘蛛
🕸	网 蛛网 蜘蛛网 蛛网 网 蜘蛛
🕹	手柄 摇杆 操纵杆 摇杆 操控杆
🕺	舞 跳舞 舞蹈 手舞足蹈
🖇	别针 回形针 曲别针
🖊	笔 笔 写 圆珠笔
🖋	笔 写 钢笔 水笔 自来水笔 钢笔
🖌	画笔 毛笔 笔 画 写 画笔
🖍	笔 画 写 蜡笔 蜡笔
🖐	布 手 击掌 手掌 五指
🖐️	手掌
🖕	中指 鄙视 中指 竖中指
🖖	瓦肯
🖤	心 黑心 黑 黑色 黑心
🖥	电脑 计算机 台式机
🖨	打印机
🖨️	打印 打印机
🖮	键盘
🖯	鼠标
🖱	滑鼠 鼠标
🖲	轨迹球
🖲️	鼠标
🖼	画框 相框 像框
🗂	档案袋 文件袋 文件夹
🗃	存档 档案 文档 文件 文书
🗄	档案柜 文件柜
🗑	垃圾 废纸篓 垃圾篓 垃圾桶 垃圾筒 垃圾桶
🗒	记事本
🗓	挂历 日历 日期 台历
🗜	压缩
🗝	密钥 锁匙 钥匙 钥匙
🗞	报纸
🗡	刀 匕首 短刀 匕首
🗣	喊 嚷 大喊 讲话 说话 喧哗 演讲
🗩	聊天 气泡 泡泡
🗪	聊天 气泡 泡泡
🗫	聊天 气泡 泡泡
🗯	对白 聊天 对话框
🗳	投票 选举 抽纸
🗳️	选举 投票 投票箱
🗺	地图 地图 世界地图
🗻	火山 富士山
🗼	电台 铁塔 电视塔
🗽	雕像 美国 纽约 自由女神 自由女神像
🗾	岛 岛国 岛屿 群岛 日本
🗿	石像 雕像 石雕 石像
😀	嗯 笑 哈哈 呵呵 微笑 微笑
😁	呲牙 嘿嘿 咧嘴 嘻嘻
😂	激动 纠结 哭笑 笑哭 哭笑不得 破涕为笑 喜极而泣 笑哭 笑死 笑屎
😃	哇 高兴 惊喜 开心 哇哦 哈哈 开心
😄	大笑 开心 笑 哈哈 开心 眯眼 微笑 微笑
😅	汗 囧 窘 尴尬 汗颜 冷汗 流汗 冒汗 汗 苦笑 无奈 尴尬
😆	哎呀 哈哈 挤眼 开心 眯眼
😇	聪明 天才 天使 智慧
😈	恶鬼 恶魔 嘿嘿 奸笑 魔鬼 邪恶 妖怪
😉	挤眼 可以 媚眼 眯眼 眨眼 眨眼 媚眼
😊	害羞 腼腆 高兴 害羞 嘿嘿 可爱 脸红 卖萌
😋	馋 饿 饿了 好吃 美味 吐舌 吐舌头
😌	累 放松 就那样 没兴趣 无所谓 不感兴趣
😍	色 好吃 花痴 花心 美味 漂亮 喜欢 着迷 色眯眯 花痴
😎	酷 得意 酷炫 墨镜 谢谢
😏	诡计 嘿嘿 狡黠 冷笑 你猜 嘴角 嘴角上扬
😐	噢 哦 漠然 无辜 面无表情
😑	累 噢 哦 漠然 无辜 小憩 休息 养神 闭目养神 面无表情
😒	鄙视 不服 不屑 才怪 冷漠 嫌弃 幼稚 不高兴 不开心 不开心 你在逗我 一脸嫌弃 你TM的在逗我
😓	汗 汗颜 冷汗 流汗 冒汗 无语
😔	唉 悲伤 失落 失望 叹气 叹气 忧郁 不高兴 不开心 不开心 不开心
😕	不爽 困惑 思考
😖	废了 苦恼 困惑 痛苦 完了 呜呜
😗	亲 吻 嘟嘴 飞吻 接吻 撅嘴 噘嘴 亲亲 亲吻 亲嘴
😘	亲 吻 飞吻 接吻 亲亲 亲吻 亲嘴
😙	亲 吻 飞吻 接吻 亲亲 亲吻 亲嘴
😚	亲 吻 羞 飞吻 害羞 接吻 亲亲 亲吻 亲嘴 羞涩
😛	舌 舔 卖萌 舌头 吐舌 吐舌头
😜	鬼脸 卖萌 顽皮 眨眼 捉弄 开玩笑
😝	舌 舔 哎呀 嘲笑 舌头 调皮 吐舌 开玩笑 辣
😞	困 难过 失望 无聊 不高兴 不开心 不开心 苦瓜脸 没意思 沮丧 悲伤
😟	担忧 什么 不会吧 不会吧
😠	怒 发怒 愤怒 气愤 生气 小样 皱眉 不高兴 不开心 不开心
😡	怒 发怒 愤怒 气愤 生气 小样 皱眉 不高兴 不开心 不开心
😢	哭 晕 大哭 尴尬 哭泣 流泪 伤心 不是吧 怎么会
😣	闭眼 不看 难受 伤心 讨厌
😤	哼 怒 粗气 发怒 愤怒 气愤 生气
😥	额 呃 汗 囧 紧张 失望 心虚 整个人都不好了
😦	惨 惊 靠 吓 惊讶 惊讶 沮丧 可怕 我操 不会吧 不会吧 好可怕 好可怕
😧	惨 惊 靠 吓 惊讶 惊讶 沮丧 可怕 我操 不会吧 不会吧 好可怕 好可怕
😨	惨 惊 靠 吓 惊讶 惊讶 沮丧 可怕 我操 不会吧 不会吧 好可怕 好可怕
😩	哭 大哭 难过 伤心 心烦 郁闷 不高兴 不开心 不开心
😪	唉 好吧 算了 叹气 叹气
😫	哭 大哭 难过 伤心 心烦 郁闷 不高兴 不开心 不开心
😬	呲牙
😭	哭 泪 大哭 哭泣 流泪 难过 眼泪
😮	噢 哦 喔
😯	哇 哇哦
😰	额 呃 汗 囧 紧张 失望 心虚 整个人都不好了
😱	惊 吃惊 惊恐 惊讶 可怕 恐怖 恐惧 天啊 吓尿 吓人 吓死 我的天啊
😲	晕 吃惊 恐怖 恐惧 痛苦 头晕 眼花 震惊 不清楚 不知道
😳	瞪 瞪眼 发呆 害羞 脸红 茫然 真的吗 真的假的
😴	困 睡 睡觉 睡了 晚安 无聊 不好玩
😵	晕 吃惊 恐怖 恐惧 痛苦 头晕 眼花 震惊 不清楚 不知道
😶	冷漠 漠然 随便 无语 无话可说 沉默 无语
😷	医生 口罩 病 传染 感冒 口罩 生病 污染 雾霾
😸	笑 哈哈 开心 眯眼 微笑 微笑
😹	激动 纠结 哭笑 笑哭 哭笑不得 破涕为笑 喜极而泣
😺	哇 高兴 惊喜 开心 哇哦
😻	色 好吃 花痴 花心 美味 漂亮 喜欢 着迷 色眯眯
😼	诡计 嘿嘿 狡黠 冷笑 你猜 嘴角 嘴角上扬
😽	亲 吻 飞吻 接吻 亲亲 亲吻 亲嘴
😾	怒 发怒 愤怒 气愤 生气 小样 皱眉 不高兴 不开心 不开心
😿	额 呃 汗 囧 失望
🙀	惊 吃惊 惊恐 惊讶 可怕 恐怖 恐惧 天啊 吓尿 吓人 吓死 我的天啊
🙁	难过 算了
🙂	微笑 笑 微笑 微笑
🙃	颠倒 微笑 我倒
🙄	滚 哼 白眼 废话 白眼
🙅	不 不干 不行 不好 没门
🙆	好 祝 真好 太好了
🙇	跪 崇拜 跪拜 鞠躬 磕头
🙈	闭眼 不看 非礼勿视
🙉	不听 非礼勿听
🙊	闭嘴 不说
🙋	欢迎 招呼 招手 打招呼
🙌	庆 欢庆 婚庆 庆典 庆祝
🙍	沮丧 无助 皱眉 不高兴 不开心 不开心
🙎	憋屈 撅嘴 噘嘴 委屈 不高兴 不开心 不开心
🙏	感谢 祈祷 谢谢 打扰了 对不起 原谅我 不好意思 感激不尽 双手合十 谢谢 辛苦 感谢
🚀	出行 导弹 火箭 交通 火箭
🚁	直升机 飞 出行 飞机 交通 直升机 直升飞机
🚂	火车头 火车站
🚃	电车 有轨电车
🚄	出行 动车 高铁 火车 交通 磁悬浮 磁悬浮列车 高铁
🚅	动车 高铁 火车 磁悬浮 磁悬浮列车
🚆	火车 火车头 火车站
🚇	出行 地铁 交通 捷运 轻轨
🚈	出行 地铁 交通 捷运 轻轨 火车
🚉	车站 火车 地铁站 火车站
🚊	出行 电车 火车 交通
🚋	电车 电车 有轨电车
🚌	大巴 巴士 车 巴士 车子 出行 大巴 公车 交通 大巴车 公交车 公共汽车
🚍	大巴 公车 校车 大巴车 公交车 公共汽车
🚎	车 车子 电车
🚏	车站 公交车站 公共汽车站
🚐	车 车子 出行 交通 面包车
🚑	救护 救护车 病 生病 医院 住院 救护车
🚒	救火 救火车 消防车 消防 消防车
🚓	警车 车 车子 警车
🚔	警车 车 车子 警车
🚕	出租 出租车 车 车子 出行 打车 打的 交通 出租车 计程车
🚖	出租 出租车 车 车子 打车 打的 出租车 计程车
🚗	车 车子 出行 交通 轿车 小轿车
🚘	车 车子 轿车 小轿车
🚙	车 车子 出行 交通 轿车 小轿车
🚚	货车 卡车 车 车子 货车 货运 快递 快递
🚛	车 车子 货车 卡车 快递 快递
🚜	拖拉机
🚝	动车 高铁 火车 磁悬浮 磁悬浮列车
🚞	火车 列车
🚟	火车 列车 空中列车
🚠	出行 交通 缆车 索道 缆车 索道
🚡	缆车 索道
🚢	船 出海 出行 交通 轮船 船 轮船
🚣	划船 赛艇 小船
🚤	快艇 快艇 汽艇 赛艇 游艇
🚥	红灯 绿灯 黄灯 路口 红绿灯 交通灯 信号灯 十字路口
🚦	红灯 绿灯 黄灯 路口 红绿灯 交通灯 信号灯 十字路口
🚧	不通 路障 施工 施工 路障
🚨	报警 火警 警灯 警示 危险 警灯 警车灯
🚩	旗 红旗 旗帜 终点 旗 红旗 目标 标志 标记
🚪	门 门 入口
🚫	不得 不准 禁止 限制 禁停 禁止
🚬	烟 抽烟 点烟 吸烟 香烟 烟 香烟 抽烟
🚭	禁止 禁烟 禁止吸烟
🚮	垃圾 垃圾桶 垃圾 废纸篓 垃圾篓 垃圾桶 垃圾筒
🚯	禁止 禁止 垃圾 乱扔
🚰	开水 饮用水 直饮水
🚱	禁止 饮水 饮用水 禁用
🚲	单车 骑车 自行车 自行车
🚳	单车 禁止 自行车 禁止
🚴	单车 骑车 自行车 骑自行车 骑车
🚵	单车 骑车 自行车 骑自行车 山地车
🚶	行人 行走 离开 走开 走 行人 行走
🚷	禁止 禁行 禁止
🚸	儿童
🚹	厕所 男人 男厕 厕所 男厕 男厕所 卫生间 洗手间 公共厕所 男卫生间 男洗手间 公共卫生间
🚺	厕所 女人 女厕 厕所 女厕 女厕所 卫生间 洗手间 公共厕所 女卫生间 女洗手间 公共卫生间
🚻	厕所 厕所 盥洗室 化妆室 卫生间 洗手间 公共厕所 公共卫生间
🚼	厕所 母婴 母婴室 卫生间 洗手间 公共厕所 公共卫生间 婴儿
🚽	厕所 马桶 卫生间 洗手间 抽水马桶 公共厕所 公共卫生间 马桶
🚾	厕所 厕所 卫生间 洗手间 公共厕所 公共卫生间
🚿	冲凉 花洒 淋浴 喷头 洗浴 洗澡 莲蓬头 淋浴 花撒
🛀	盆浴 洗浴 洗澡
🛁	沐浴 盆浴 洗浴 洗澡 浴池 浴缸 澡盆
🛂	安检 边防 检查 通关
🛃	海关
🛄	存包 行李 寄存 托运
🛅	存包 行李 寄存
🛆	三角
🛋	沙发
🛌	床 床 宾馆 旅馆 旅舍 睡觉 卧铺 住店 住宿
🛍	袋 袋子 购物 购物袋
🛎	铃 餐铃 铃铛 服务铃
🛏	床 床 宾馆 旅馆 旅舍 睡觉 卧铺 住店 住宿
🛐	道观 佛殿 佛堂 寺庙 寺院 宗教
🛑	停 停止 让行 禁止 警告 停止 八边形
🛒	购物车
🛠	维修 工具 锤 扳手 锤子 工具 起子 敲打 铁锤 工具箱
🛡	盾 盾牌
🛢	油桶
🛣	高速 高速路 高速公路
🛤	轨道 铁道 铁轨 铁路
🛥	快艇 汽艇 赛艇 游艇 摩托艇
🛩	飞 出行 飞机 交通
🛫	起飞 出发 飞 飞机 起飞
🛬	降落 到达 飞 飞机 降落 着陆
🛰	卫星 卫星 人造卫星
🛳	客轮 船 客轮 轮船 游轮
🛴	滑板车 滑板车 踏板车
🛵	电动车 电瓶车 电瓶车 摩托车 电动自行车
🛶	独木舟 赛艇 独木舟
🛷	雪橇
🛸	飞碟
🛹	滑板
🟠	橙 橙色
🟡	黄 黄色
🟢	绿 绿色
🟤	棕 棕色
🟥	方块 红 红色 颜色
🟦	蓝 蓝色 颜色
🟧	橙 橙色 颜色
🟨	颜色 黄 黄色
🟩	绿 绿色 颜色
🟫	棕 棕色 颜色
🤐	闭嘴 封口 拉链
🤑	钱 财迷 见钱眼开 唯利是图
🤒	病 发烧 生病 体温 量体温
🤓	学生 眼镜 书呆子 知识分子
🤔	想 复杂 思考 想一想
🤕	伤 伤 绷带 难受 受伤
🤖	机器 机器人 人工智能
🤗	鬼 抱抱 不哭 没事 拥抱 没事的
🤘	摇滚
🤙	打电话 打电话 溜
🤚	手 手背
🤛	拳 拳头
🤜	拳 拳头
🤝	合作 握手 友谊
🤞	响指 打响指
🤠	牛仔
🤡	丑 出丑 小丑 马戏团 小丑
🤢	恶心 反胃 难吃 有毒 作呕
🤣	大笑 哈哈 狂笑 笑死 哈哈哈哈哈哈 笑哭 笑死 笑屎
🤤	馋 垂涎 口水 流口水
🤥	骗 胡扯 胡说 骗人 骗子 说谎 匹诺曹
🤦	纠结 麻烦 头大 头疼
🤧	啊嚏 感冒 喷嚏 打喷嚏 流鼻涕
🤨	诶 咦 疑问 不是吧
🤩	崇拜 羡慕 棒 棒呆 好棒 惊喜 厉害
🤪	鬼脸 调皮
🤫	轻 嘘 安静 轻点
🤬	操 艹 滚 骂 操你妈 草泥马 狗日的 狗杂种 狗娘养的
🤭	不说 捂嘴 偷笑 偷笑
🤮	病 吐 恶心 生病 想吐
🤯	爆炸 发狂 可怕 天啊 天呐 炸了 抓狂
🤰	孕妇 怀孕 妊娠 身孕 孕妇
🤳	自拍
🤴	王子 驸马 皇子 太子 王储 王爷 王子
🤵	绅士 先生 新郎
🤶	圣诞 圣诞老人
🤷	不管 不知道 无所谓 不关我事 无能为力
🤸	体操 筋斗
🤹	卖艺 戏法 杂技
🤺	击剑
🤼	摔跤 柔道 摔跤
🤽	水球
🤾	手球 扣篮
🥀	伤心 凋零 凋谢 枯萎
🥁	鼓 打鼓 敲鼓 架子鼓
🥂	干杯 碰杯
🥃	酒 洋酒 威士忌
🥄	勺 勺子 匙 勺 匙 勺子 汤匙
🥅	球门
🥇	冠军 金牌 第一 冠军 金牌
🥈	亚军 银牌 第二 亚军 银牌
🥉	季军 铜牌 第三 季军 铜牌
🥊	拳击 拳套 拳击手套
🥋	空手道 跆拳道 武术服
🥌	冰壶
🥍	袋棍球
🥎	垒球
🥏	飞盘
🥐	面包 羊角面包
🥑	牛油果 鳄梨 牛油果
🥒	黄瓜 黄瓜 胡瓜
🥓	培根 培根 肉卷
🥔	土豆 蕃薯 土豆 洋芋 马铃薯
🥕	胡萝卜 胡萝卜 萝卜
🥖	法棍 法棍 法式长棍 长棍面包 法式长棍面包
🥗	沙拉 蔬菜沙拉
🥘	盖饭 砂锅
🥙	馕 三明治
🥚	蛋 鸡蛋 蛋 鸡蛋 鸭蛋
🥛	奶 牛奶
🥜	花生
🥝	猕猴桃 猕猴桃 奇异果
🥞	饼 薄饼 饼子 煎饼 烤饼
🥟	饺 饺子 饺子
🥠	签语饼 幸运饼
🥡	便当 外卖 外卖 盒饭
🥢	筷 筷子
🥣	汤碗 喝汤 碗 碗
🥤	可乐 汽水 饮料 果汁 饮料
🥥	椰 椰汁 椰子 椰子
🥦	菜花 花菜 西兰花
🥧	派 馅饼
🥨	蝴蝶饼
🥩	牛排 肉排 猪排
🥪	三明治
🥫	罐头
🥬	青菜 白菜 蔬菜
🥭	芒果
🥮	中秋 月饼
🥽	眼镜
🦀	蟹 螃蟹 蟹 螃蟹 大闸蟹
🦁	狮 狮子 雄狮 狮子头 狮子 狮头
🦂	蝎 蝎子 蝎子
🦃	火鸡 感恩节
